latitude,longitude,elevation,slope,rainfall_24h,rainfall_72h,rainfall_intensity,soil_moisture,satellite_indicator,historical_landslide_occurrence,latent_risk_score,risk_level,risk_category,region_state
25.48788,91.72066,1897.3,45.18,40.39,109.02,4.95,62.82,51.98,81.3,43.92,1,moderate,Meghalaya
27.35839,88.65723,1701.8,44.54,143.96,371.34,19.32,85.68,78.78,98.69,93.6,3,critical,Sikkim
11.60819,76.1846,1031.4,50.28,16.73,121.39,1.88,49.0,57.88,100.0,55.38,1,moderate,Kerala
25.59171,93.93445,1387.8,53.2,10.45,32.01,0.6,35.76,30.2,68.23,35.68,0,low,Nagaland
27.36371,88.52878,1743.5,65.1,28.06,109.98,2.04,54.85,66.76,87.62,60.55,2,high,Sikkim
11.60154,76.16585,1065.0,48.98,105.41,450.0,32.97,88.82,94.74,84.13,100.0,3,critical,Kerala
25.36652,91.66465,1485.3,44.85,3.38,17.78,0.14,42.78,14.12,92.23,35.19,0,low,Meghalaya
27.30455,88.60586,1546.9,60.79,37.03,96.36,2.49,53.62,41.79,70.03,55.48,1,moderate,Sikkim
27.17057,93.74292,362.5,40.77,0.29,0.31,0.02,40.27,15.99,60.11,23.95,0,low,Arunachal Pradesh
26.06436,91.85881,298.4,45.67,127.74,319.01,22.25,85.21,78.8,71.0,89.65,3,critical,Assam
25.26788,91.65945,1405.5,42.04,42.83,104.97,2.77,53.38,31.06,86.6,45.93,1,moderate,Meghalaya
23.32774,93.32016,1723.8,47.33,47.41,131.05,3.18,51.85,59.83,70.63,47.0,1,moderate,Mizoram
31.05017,77.00227,2022.0,69.5,1.64,8.42,0.08,36.98,19.21,95.21,44.04,1,moderate,Himachal Pradesh
11.76515,76.1057,977.3,51.65,1.72,24.64,0.14,12.14,25.09,100.0,30.96,0,low,Kerala
27.37273,88.60339,1654.8,60.7,9.06,9.26,0.57,49.21,23.49,95.1,46.73,1,moderate,Sikkim
25.19282,91.86028,1387.3,60.72,1.28,14.46,0.05,28.63,20.25,97.43,39.5,0,low,Meghalaya
24.94862,93.9646,943.3,34.67,111.96,259.07,16.97,73.71,76.32,93.91,73.17,2,high,Manipur
24.91112,93.96423,657.2,38.27,2.69,27.02,0.13,34.16,27.9,93.95,28.63,0,low,Manipur
25.27603,91.60184,1393.1,41.25,212.09,620.83,52.69,95.06,83.64,100.0,100.0,3,critical,Meghalaya
27.32853,88.60061,1633.7,51.07,54.13,103.75,8.09,55.09,53.0,95.98,51.76,1,moderate,Sikkim
25.25011,91.78013,1436.8,52.99,4.71,6.28,0.24,50.0,36.86,97.63,40.56,1,moderate,Meghalaya
24.74141,93.93499,639.8,56.73,79.61,187.75,16.4,70.6,86.87,82.79,77.76,2,high,Manipur
31.06053,77.07053,2301.0,53.3,171.58,506.03,50.02,96.5,92.33,78.15,100.0,3,critical,Himachal Pradesh
11.60769,76.07297,740.2,53.84,53.02,122.52,5.18,53.88,65.21,92.49,59.63,1,moderate,Kerala
11.85809,76.1171,935.8,46.65,159.79,330.46,16.81,82.0,75.97,83.94,92.68,3,critical,Kerala
30.69755,79.03796,3495.2,55.04,2.54,50.03,0.14,38.94,13.87,94.14,36.61,0,low,Uttarakhand
25.69431,94.12535,1438.0,49.53,40.26,98.77,2.64,38.44,53.0,79.67,45.1,1,moderate,Nagaland
31.2336,77.23434,2264.2,37.59,121.8,339.11,19.21,79.19,60.28,84.19,79.6,2,high,Himachal Pradesh
25.50519,91.76481,1993.9,38.2,20.0,30.2,1.06,19.04,9.6,78.31,30.26,0,low,Meghalaya
11.67241,76.05683,1064.1,56.55,44.58,96.93,5.58,57.61,46.29,100.0,60.3,2,high,Kerala
11.65279,76.06362,1194.3,44.04,271.63,649.08,102.15,86.52,93.15,87.34,100.0,3,critical,Kerala
24.96994,93.77627,878.9,45.82,16.37,40.06,1.26,20.32,22.29,75.9,25.89,0,low,Manipur
30.70563,79.09742,3678.6,63.24,111.4,295.91,19.13,70.3,78.83,95.3,97.95,3,critical,Uttarakhand
23.46918,93.15829,1332.7,44.47,114.21,326.88,17.76,72.45,83.48,49.85,73.87,2,high,Mizoram
24.81683,94.02691,726.3,29.58,3.04,8.99,0.16,33.61,29.47,86.22,23.09,0,low,Manipur
25.78333,94.12427,1467.0,32.96,39.02,60.33,2.64,62.06,47.77,67.71,40.65,1,moderate,Nagaland
27.11053,93.62308,624.1,23.23,112.38,303.2,15.6,75.69,74.55,44.84,62.0,2,high,Arunachal Pradesh
26.13105,91.80608,269.8,11.71,45.42,110.44,3.7,35.0,61.0,75.14,37.87,0,low,Assam
27.37109,88.66998,1536.2,56.98,43.52,119.92,3.02,75.0,55.86,98.01,59.53,1,moderate,Sikkim
24.72215,93.98509,796.4,26.9,46.71,101.68,5.53,45.84,50.37,85.04,34.55,0,low,Manipur
25.7685,94.15648,1342.6,25.86,131.0,320.37,20.69,81.98,83.48,84.12,80.42,3,critical,Nagaland
30.77589,79.01312,3431.2,62.7,8.8,15.58,0.61,27.22,27.72,85.94,39.33,0,low,Uttarakhand
23.50224,93.24517,1672.8,42.55,22.16,111.8,1.8,75.0,46.79,64.47,49.01,1,moderate,Mizoram
27.21624,88.6272,1811.0,58.96,163.69,563.59,42.95,88.79,92.52,82.52,100.0,3,critical,Sikkim
31.10894,77.09347,2304.8,56.75,152.89,330.52,30.16,74.58,75.06,91.12,100.0,3,critical,Himachal Pradesh
30.89738,79.10594,3692.1,57.98,47.98,124.91,4.16,71.86,56.53,99.27,64.74,2,high,Uttarakhand
27.15965,88.25168,2065.0,52.29,44.47,93.02,4.4,56.26,70.0,92.73,59.13,1,moderate,West Bengal
26.19103,91.60548,50.0,32.4,132.87,357.07,27.47,84.22,79.46,63.35,87.08,3,critical,Assam
23.39747,93.23506,1592.8,36.37,1.01,1.72,0.06,28.98,28.96,67.14,22.45,0,low,Mizoram
11.61251,76.03227,1006.8,42.7,47.88,87.82,3.82,60.51,48.21,100.0,48.28,1,moderate,Kerala
27.01668,93.73225,705.7,38.19,19.52,23.63,0.88,35.62,27.98,55.81,26.97,0,low,Arunachal Pradesh
30.65845,79.02588,3447.5,38.07,139.07,356.03,18.81,80.04,57.4,88.68,83.35,3,critical,Uttarakhand
23.44477,93.2563,1831.8,40.07,43.57,80.94,3.62,67.41,43.44,70.85,50.24,1,moderate,Mizoram
30.64689,79.14486,3791.7,59.78,150.74,250.91,21.12,84.2,72.07,93.67,93.81,3,critical,Uttarakhand
26.97553,88.23002,2169.8,56.9,59.91,112.45,4.37,55.48,51.66,90.42,63.7,2,high,West Bengal
27.18283,88.50881,1658.3,44.56,160.49,361.08,33.0,85.46,67.96,65.25,96.54,3,critical,Sikkim
24.83657,93.84486,902.9,33.52,3.12,35.79,0.18,31.25,32.16,77.57,27.99,0,low,Manipur
25.46096,91.85822,1931.1,43.48,8.34,13.97,0.59,35.6,22.74,87.66,34.45,0,low,Meghalaya
27.00266,88.36124,1801.1,55.27,261.43,611.61,49.91,92.52,87.17,77.22,100.0,3,critical,West Bengal
25.29318,91.89603,1560.7,45.39,38.88,85.35,4.31,35.0,50.18,100.0,49.69,1,moderate,Meghalaya
25.61032,91.79428,1933.7,44.25,246.33,572.34,59.67,90.93,77.29,82.82,100.0,3,critical,Meghalaya
25.69367,94.08813,1068.6,42.52,4.61,15.76,0.25,34.94,33.45,68.61,35.59,0,low,Nagaland
24.8332,93.93916,837.0,48.02,122.93,252.39,25.25,65.0,69.91,84.48,74.9,2,high,Manipur
25.57317,94.19195,1332.6,41.58,34.52,103.18,3.3,53.94,47.98,83.08,46.69,1,moderate,Nagaland
25.59748,94.10056,1472.7,44.81,88.48,226.28,17.59,81.66,75.83,77.69,78.82,2,high,Nagaland
11.62466,76.18212,899.8,57.03,145.97,339.49,15.72,82.39,70.0,87.52,98.19,3,critical,Kerala
11.73039,76.12518,1143.4,36.1,142.22,401.11,16.12,75.95,70.13,73.58,85.72,3,critical,Kerala
27.13426,93.73482,1125.0,27.51,46.54,120.86,3.0,51.93,51.13,47.62,38.48,0,low,Arunachal Pradesh
31.06674,77.18402,2159.1,49.92,1.0,2.33,0.07,16.15,26.06,89.63,28.41,0,low,Himachal Pradesh
25.48186,91.79979,2010.9,31.33,50.0,120.99,5.33,47.08,47.0,83.02,38.73,0,low,Meghalaya
31.15686,77.0339,2319.1,51.96,203.54,515.03,41.03,90.26,84.82,100.0,100.0,3,critical,Himachal Pradesh
24.68647,93.7906,737.4,44.34,19.78,33.52,1.48,31.79,23.86,71.11,34.82,0,low,Manipur
23.48232,93.26431,1597.3,32.02,134.83,351.55,13.7,80.08,90.0,68.4,78.51,2,high,Mizoram
23.43146,93.24195,1518.4,45.25,51.92,98.2,8.44,50.58,57.72,79.22,54.54,1,moderate,Mizoram
26.12229,91.66567,360.2,49.38,136.33,296.87,30.21,88.27,67.52,53.82,89.6,3,critical,Assam
24.79175,93.88073,337.4,39.75,43.38,121.61,4.91,39.65,57.31,90.29,44.29,1,moderate,Manipur
25.58638,94.12344,1490.3,39.19,9.46,13.09,0.71,20.65,33.9,79.25,26.8,0,low,Nagaland
25.35076,91.6624,1205.1,47.27,53.22,114.42,4.07,66.39,46.54,91.3,50.91,1,moderate,Meghalaya
27.41631,88.43726,1575.1,37.91,8.2,29.06,0.57,25.27,28.64,86.72,29.35,0,low,Sikkim
25.66026,94.14947,1590.5,47.36,84.18,226.06,12.0,76.15,61.77,87.31,69.91,2,high,Nagaland
24.83036,93.99519,899.0,33.06,5.11,14.65,0.37,42.7,15.24,87.09,26.49,0,low,Manipur
24.75017,93.88745,865.9,27.98,51.35,105.39,8.52,54.17,49.52,82.79,48.01,1,moderate,Manipur
25.54424,91.93922,1889.5,55.42,62.87,121.57,5.33,75.0,41.23,73.32,58.46,1,moderate,Meghalaya
27.03545,88.14228,2130.9,39.35,63.64,201.59,14.38,93.38,70.21,75.11,69.99,2,high,West Bengal
27.33143,88.80803,1773.6,50.05,14.23,27.81,0.74,20.25,30.06,82.47,29.88,0,low,Sikkim
